107 MORGAN CT , ,22903,NOT AVAILABLE,14153,
111 PAYNES MILL RD , ,22902,NOT AVAILABLE,17500,
507 HARRIS RD ,A,22903,NOT AVAILABLE,13270,
2518 WILLARD DR ,A,22903,AVAILABLE,12172,
509 HARRIS RD ,A,22903,NOT AVAILABLE,13286,
505 HARRIS RD ,B,22903,NOT AVAILABLE,13256,
1980 ARLINGTON BLVD ,B,22903,NOT AVAILABLE,1759,
1600 MULBERRY AVE ,A,22903,AVAILABLE,9791,
411 ALTAMONT CIR ,,22902,AVAILABLE,5959,
1226 HOLMES AVE ,B,22901,AVAILABLE,,
1206 CUTLER LN ,B,22901,NOT AVAILABLE,2457,
2401 ARLINGTON BLVD ,65,22903,NOT AVAILABLE,1506,
1800 JEFFERSON PARK AVE ,66,22903,UNKNOWN STATE,8222,
207 RIVERVIEW AVE ,,22902,NOT AVAILABLE,9752,
705 CONCORD AVE ,,22903,NOT AVAILABLE,4270,
1124 E JEFFERSON ST ,,22902,AVAILABLE,7810,
415 AVON ST ,,22902,NOT AVAILABLE,8818,
1404 MEADOWBROOK RD ,,22903,NOT AVAILABLE,1294,
1372 HILLTOP RD ,,22903,AVAILABLE,1333,
1220 SMITH ST ,H,22901,UNKNOWN STATE,3884,
218 14TH ST NW ,109,22903,AVAILABLE,14120,
224 14TH ST NW ,602,22903,AVAILABLE,,
100 COURT SQ ,4,22902,NOT AVAILABLE,,
408 FAIRWAY AVE ,A,22902,AVAILABLE,7996,
829 BELMONT AVE ,4,22902,AVAILABLE,9757,
520 E MAIN ST ,5,22902,NOT AVAILABLE,,
232 WINE ST ,B,22902,AVAILABLE,0.132,
1242 HARRIS ST ,,22903,NOT AVAILABLE,,
922 MARSHALL ST ,,22901,NOT AVAILABLE,3439,
1530 E HIGH ST ,,22902,AVAILABLE,5999,
1710 MONTICELLO RD ,,22902,AVAILABLE,,
2401 ARLINGTON BLVD ,43,22903,NOT AVAILABLE,1506,
606 CABELL AVE ,F,22903,AVAILABLE,,
608 CABELL AVE ,F,22903,AVAILABLE,,
428 MONROE LN ,210,22903,NOT AVAILABLE,13937,
600 WATSON AVE ,A,22901,AVAILABLE,3692,
719 RIDGE ST ,1,22902,NOT AVAILABLE,9996,
403 PATON ST ,A,22903,NOT AVAILABLE,8255,
2206 NORTH BERKSHIRE RD ,4,22901,NOT AVAILABLE,624,
1885 WESTVIEW RD ,,22903,NOT AVAILABLE,1640,
816 CABELL AVE ,F,22903,NOT AVAILABLE,,
300 W MAIN ST ,302,22903,AVAILABLE,7174,
1633 MERIDIAN ST ,A,22902,AVAILABLE,13736,
1633 MERIDIAN ST ,B,22902,AVAILABLE,13736,
928 1ST ST S ,D,22902,NOT AVAILABLE,,
409 13TH ST NW ,F,22903,UNKNOWN STATE, 94-102",
409 13TH ST NW ,1F,22903,UNKNOWN STATE, 94-102",
201 15TH ST NW ,4A,22903,UNKNOWN STATE,,
1101 EMMET ST N ,,22903,NOT AVAILABLE,,
1119 EMMET ST N ,,22903,NOT AVAILABLE,,
1035 EMMET ST N ,A,22903,NOT AVAILABLE,,
1001 EMMET ST N ,,22903,AVAILABLE,7.241,
1904 EMMET ST N ,,22901,NOT AVAILABLE,651,
1103 FOREST HILLS AVE ,,22903,AVAILABLE,9057,
1005 5TH ST SW ,,22903,NOT AVAILABLE,11333,
1716 ALLIED ST ,,22903,AVAILABLE,,
1220 HARRIS ST ,,22903,AVAILABLE,3876,
1314 OXFORD PL ,,22903,AVAILABLE,1769,
306 ALDERMAN RD ,,22903,NOT AVAILABLE,3999,
214 CAMERON LN ,,22903,AVAILABLE,4001,
108 LAUREL CIR ,,22903,AVAILABLE,9408,
807 PROSPECT AVE ,,22903,NOT AVAILABLE,11112,
421 MONTICELLO RD ,,22902,AVAILABLE,9441,
340 RIVERSIDE AVE ,,22902,NOT AVAILABLE,9060,
724 WEST ST ,,22903,AVAILABLE,5597,
303 13TH ST NE ,,22902,AVAILABLE,7962,
300 12TH ST NE ,,22902,AVAILABLE,7963,
305 CHESTNUT ST ,,22902,NOT AVAILABLE,9636,
1400 SHORT 18TH ST ,,22902,NOT AVAILABLE,8654,
1000 KING ST ,,22903,NOT AVAILABLE,7672,
1021 KING ST ,,22903,AVAILABLE,7677,
2745 MCELROY DR ,,22903,AVAILABLE,13360,
601 CONCORD AVE ,B,22903,AVAILABLE,4477,
506 9TH ST SW ,,22903,NOT AVAILABLE,8221,
845 ESTES ST ,,22903,NOT AVAILABLE,6797,
414 E MAIN ST ,,22902,AVAILABLE,7348,
108 2ND ST NE ,,22902,AVAILABLE,6923,
306 E MAIN ST ,,22902,AVAILABLE,,
918 MARSHALL ST ,,22901,NOT AVAILABLE,3589,
312 CHESTNUT ST ,,22902,NOT AVAILABLE,9989,
1025 PARK ST ,,22901,AVAILABLE,3065,
1216 SMITH ST ,,22901,AVAILABLE,3750,
1105 CALHOUN ST ,,22901,AVAILABLE,4006,
1314 WELLFORD ST ,,22903,AVAILABLE,1735,
910 MARTIN ST ,,22901,AVAILABLE,4415,
1004 COLEMAN ST ,,22901,AVAILABLE,4617,
